fact_code,line_code,smv,running_days,total_target,day_output,total_present,available_mins,output_mins,output_target,absent_rate,alter_rate,spot_rate,reject_rate,dow,date
1001,100105,,14,2200,1950,54,38880,,0.8863636,0.0526316,0.0369458,,0.0024631,0,16/6/2013
1001,100105,,16,3900,3620,53,38160,,0.948718,0.0701754,0.0427136,,0.0025126,1,17/6/2013
1001,100105,,17,1900,1800,51,36720,,0.9473684,0.1052632,0.0459345,,0.0036959,2,18/6/2013
1001,100105,,18,2000,2000,53,38160,,1,0.0701754,0.0391595,,0.0057307,3,19/6/2013
1001,100105,,2,800,500,48,23040,,0.625,0.1578947,0.1318493,,0.0119863,0,2/6/2013
1001,100105,,19,1900,1950,53,38160,,1.026316,0.0701754,0.0429688,,0.0048828,4,20/6/2013
1001,100105,,20,1800,1750,53,38160,,0.9722222,0.0535714,0.0501889,,0.0053967,6,22/6/2013
1001,100105,,17,400,194,53,31800,,0.485,0.0535714,0.1565217,,0,0,23/6/2013
1001,100105,,18,1200,600,52,37440,,0.5,0.0545455,0.072643,,0,1,24/6/2013
1001,100105,,19,1200,760,54,38880,,0.6333333,0.0357143,0.0628079,,0.0012315,3,26/6/2013
1001,100105,,20,1300,1200,54,32400,,0.9230769,0.0357143,0.0602976,,0,4,27/6/2013
1001,100105,,21,1200,2450,54,38880,,1.598765,0.0526316,0.0308179,,0.0011853,6,29/6/2013
1001,100105,,3,1000,900,47,33840,,0.9,0.1754386,0.0933735,,0.003012,1,3/6/2013
1001,100105,,22,1900,1700,55,39600,,0.8947368,0.0350877,0.0460157,,0,0,30/6/2013
1001,100105,,4,1500,1400,49,35280,,0.9333333,0.1403509,0.052027,,0.002027,2,4/6/2013
1001,100105,,5,1700,1500,50,36000,,0.8823529,0.122807,0.0463787,,0.0006353,3,5/6/2013
1001,100105,,6,1800,1600,52,37440,,0.8888889,0.0877193,0.045319,,0.0005963,4,6/6/2013
1001,100105,,7,2000,1700,46,33120,,0.85,0.1481481,0.0405634,,0.0016901,6,8/6/2013
1001,100105,,8,2000,1800,46,33120,,0.9,0.1481481,0.0378465,,0.0026652,0,9/6/2013
1001,100105,,23,1600,1450,54,38880,,0.90625,0.0181818,0.0540717,,0.0013029,1,1/7/2013
1001,100105,,31,1100,1200,53,31800,,1.090909,0.0363636,0.0332618,,0.001073,3,10/7/2013
1001,100105,,32,900,1160,54,32400,,1.288889,0.0181818,0.0327781,,0,4,11/7/2013
1001,100105,,33,350,440,55,33000,,1.257143,0.0178571,0.0393013,,0,6,13/7/2013
1001,100105,,34,1450,1350,56,33600,,0.9310345,0.0175439,0.0492264,,0.0014065,0,14/7/2013
1001,100105,,35,1550,1450,57,34200,,0.9354839,0,0.0509804,,0.0013072,1,15/7/2013
1001,100105,,36,,,55,,,,0.0350877,0.0506009,,0.0006325,2,16/7/2013
1001,100105,,37,1500,1400,55,33000,,0.9333333,0.0178571,0.0533784,,0.0006757,3,17/7/2013
1001,100105,,38,1600,1450,56,33600,,0.90625,0.0175439,0.0497057,,0.0019621,4,18/7/2013
1001,100105,,24,1600,1500,53,38160,,0.9375,0.0363636,0.0488269,,0,2,2/7/2013
1001,100105,,39,2000,2600,56,40320,,1.3,0.0175439,0.0300388,,0.000969,6,20/7/2013
1001,100105,,40,1500,1500,57,34200,,1,0,0.0384369,,0.0006406,0,21/7/2013
1001,100105,,41,1600,1500,57,34200,,0.9375,0,0.0214984,,0.0013029,1,22/7/2013
1001,100105,,42,1500,1500,56,33600,,1,0.0175439,0.0433397,,0.0006373,2,23/7/2013
1001,100105,,43,1600,1500,56,33600,,0.9375,0.0175439,0.0433673,,0,3,24/7/2013
